layer,gate_value,status
0,0.71501,active
1,0.723776,active
2,0.727508,active
3,0.725729,active
4,0.725565,active
5,0.726889,active
6,0.727942,active
7,0.727935,active
8,0.273164,skip_candidate
9,0.273493,skip_candidate
10,0.273537,skip_candidate
11,0.273559,skip_candidate
12,0.273621,skip_candidate
13,0.273769,skip_candidate
14,0.273497,skip_candidate
15,0.273475,skip_candidate
16,0.273211,skip_candidate
17,0.726906,active
18,0.72727,active
19,0.727821,active
20,0.728448,active
21,0.728896,active
22,0.728927,active
23,0.729146,active
