step_type,loss_base,loss_lora,loss_delta
tool_call,2.9704,1.3793,-1.5911
tool_call,2.1865,1.0767,-1.1098
planning,2.3085,1.0763,-1.2322
planning,2.3138,1.3955,-0.9183
tool_call,2.9555,1.3881,-1.5674
tool_call,2.1238,1.0544,-1.0694
planning,2.1663,1.2289,-0.9374
tool_call,3.2693,1.5886,-1.6806
tool_call,1.9587,0.9159,-1.0428
planning,2.518,1.3238,-1.1942
planning,2.274,1.1313,-1.1428
planning,1.8278,1.0527,-0.7751
tool_call,3.0329,1.3708,-1.6621
planning,1.9777,1.1066,-0.8711
planning,2.137,1.0445,-1.0925
tool_call,2.1712,1.2656,-0.9056
planning,1.8436,1.2184,-0.6252
tool_call,3.0156,1.4511,-1.5646
tool_call,2.1634,1.066,-1.0973
tool_call,3.0153,1.4964,-1.5189
