step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,5.47,3.85,-1.62,23.0,4.2
tool_call,4.06,2.94,-1.13,24.0,0.0
planning,4.0,2.93,-1.07,24.0,0.0
planning,5.51,4.04,-1.48,24.0,0.0
tool_call,5.51,4.01,-1.51,24.0,0.0
tool_call,3.97,2.87,-1.1,24.0,0.0
planning,4.68,3.42,-1.26,24.0,0.0
tool_call,6.73,4.9,-1.83,24.0,0.0
tool_call,3.46,2.5,-0.96,24.0,0.0
planning,5.14,3.76,-1.38,24.0,0.0
planning,4.26,3.1,-1.16,24.0,0.0
planning,3.91,2.87,-1.04,24.0,0.0
tool_call,5.43,3.94,-1.49,24.0,0.0
planning,4.14,3.02,-1.12,24.0,0.0
planning,3.88,2.84,-1.04,24.0,0.0
tool_call,3.95,3.55,-0.41,23.0,4.2
planning,4.64,3.38,-1.26,24.0,0.0
tool_call,5.89,4.27,-1.62,24.0,0.0
tool_call,4.02,2.9,-1.11,24.0,0.0
tool_call,5.64,4.47,-1.18,23.0,4.2
planning,5.87,4.28,-1.59,24.0,0.0
tool_call,4.59,3.31,-1.27,24.0,0.0
tool_call,4.02,2.9,-1.12,24.0,0.0
planning,5.1,3.71,-1.39,24.0,0.0
tool_call,7.0,5.09,-1.91,24.0,0.0
planning,4.85,3.55,-1.29,24.0,0.0
tool_call,4.5,3.26,-1.24,24.0,0.0
tool_call,3.46,2.7,-0.76,23.0,4.2
tool_call,3.78,2.99,-0.79,23.0,4.2
tool_call,4.19,3.03,-1.16,24.0,0.0
tool_call,4.55,3.29,-1.26,24.0,0.0
planning,5.34,3.91,-1.43,24.0,0.0
planning,4.35,4.52,0.17,23.0,4.2
tool_call,4.02,2.91,-1.12,24.0,0.0
planning,4.23,3.09,-1.14,24.0,0.0
planning,3.93,2.87,-1.06,24.0,0.0
planning,5.73,4.18,-1.55,24.0,0.0
tool_call,4.06,4.09,0.03,23.0,4.2
tool_call,3.68,2.66,-1.02,24.0,0.0
planning,4.32,3.15,-1.17,24.0,0.0
tool_call,5.02,3.63,-1.39,24.0,0.0
tool_call,4.61,3.33,-1.28,24.0,0.0
tool_call,4.02,2.91,-1.11,24.0,0.0
tool_call,4.39,3.46,-0.94,23.0,4.2
tool_call,3.78,2.95,-0.83,23.0,4.2
tool_call,4.57,3.3,-1.27,24.0,0.0
tool_call,4.35,3.29,-1.06,23.0,4.2
planning,4.61,3.36,-1.25,24.0,0.0
planning,4.68,3.41,-1.27,24.0,0.0
tool_call,5.22,3.79,-1.43,24.0,0.0
planning,4.43,3.23,-1.2,24.0,0.0
planning,4.28,3.11,-1.17,24.0,0.0
planning,3.72,2.72,-1.0,24.0,0.0
tool_call,4.13,2.99,-1.14,24.0,0.0
planning,4.45,3.25,-1.2,24.0,0.0
planning,4.77,3.48,-1.3,24.0,0.0
tool_call,4.03,2.91,-1.12,24.0,0.0
planning,5.3,3.88,-1.43,24.0,0.0
tool_call,7.19,5.23,-1.96,24.0,0.0
tool_call,4.5,3.25,-1.25,24.0,0.0
planning,4.86,3.56,-1.3,24.0,0.0
planning,3.61,2.64,-0.97,24.0,0.0
planning,4.66,3.41,-1.25,24.0,0.0
planning,4.86,3.55,-1.31,24.0,0.0
planning,4.5,3.28,-1.22,24.0,0.0
tool_call,4.36,3.15,-1.21,24.0,0.0
tool_call,5.53,4.01,-1.53,24.0,0.0
tool_call,3.97,2.87,-1.1,24.0,0.0
tool_call,6.6,4.8,-1.8,24.0,0.0
planning,4.92,3.59,-1.34,24.0,0.0
planning,4.94,3.59,-1.35,24.0,0.0
tool_call,5.34,3.88,-1.46,24.0,0.0
tool_call,5.8,4.21,-1.59,24.0,0.0
planning,4.5,4.37,-0.13,23.0,4.2
planning,4.28,3.11,-1.17,24.0,0.0
planning,5.1,3.75,-1.35,24.0,0.0
planning,5.16,3.76,-1.39,24.0,0.0
tool_call,4.86,3.52,-1.35,24.0,0.0
tool_call,3.95,3.65,-0.3,23.0,4.2
planning,5.47,4.0,-1.47,24.0,0.0
planning,4.83,3.53,-1.29,24.0,0.0
planning,3.86,2.81,-1.05,24.0,0.0
planning,3.89,2.84,-1.05,24.0,0.0
tool_call,8.44,6.15,-2.29,24.0,0.0
planning,4.24,3.09,-1.15,24.0,0.0
tool_call,3.99,3.93,-0.06,23.0,4.2
planning,4.41,3.22,-1.19,24.0,0.0
planning,4.28,3.11,-1.16,24.0,0.0
planning,4.53,3.33,-1.21,24.0,0.0
tool_call,3.5,2.77,-0.73,23.0,4.2
tool_call,3.87,2.79,-1.08,24.0,0.0
tool_call,4.04,2.92,-1.12,24.0,0.0
tool_call,4.96,3.6,-1.36,24.0,0.0
tool_call,3.59,2.83,-0.75,23.0,4.2
planning,6.42,4.72,-1.7,24.0,0.0
planning,4.92,3.58,-1.34,24.0,0.0
planning,5.64,4.14,-1.51,24.0,0.0
tool_call,7.5,5.45,-2.05,24.0,0.0
planning,3.92,2.87,-1.05,24.0,0.0
planning,4.85,3.54,-1.31,24.0,0.0
