step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.965699,52.76,14.96,37.67,,0.00019999,9.77
100,3.456634,31.71,15.36,36.01,,0.00019997,17.9
150,2.690418,14.74,19.1,20.42,,0.00019993,25.98
200,2.557509,12.9,19.04,20.67,,0.00019986,34.05
250,2.356519,10.55,18.56,22.66,,0.00019979,44.39
300,2.391161,10.93,19.5,18.76,,0.00019969,52.3
350,2.174318,8.8,20.36,15.17,,0.00019959,60.22
400,2.037068,7.67,21.28,11.32,,0.00019945,68.31
450,2.056465,7.82,20.94,12.75,,0.00019932,78.67
500,1.750079,5.76,22.66,5.58,,0.00019915,86.84
550,1.994469,7.35,20.6,14.16,,0.00019898,95.05
600,1.729393,5.64,21.66,9.75,,0.00019877,103.36
650,1.724257,5.61,21.8,9.17,,0.00019857,113.76
700,1.704809,5.5,21.38,10.92,,0.00019833,121.89
750,1.830289,6.24,21.06,12.25,,0.0001981,129.97
800,1.690297,5.42,21.3,11.25,,0.00019783,138.17
850,1.721843,5.59,21.48,10.5,,0.00019756,148.58
900,1.782736,5.95,20.98,12.59,,0.00019725,156.78
950,1.582216,4.87,22.0,8.33,,0.00019695,164.81
1000,1.694689,5.44,21.16,11.83,,0.00019661,172.67
1050,1.701404,5.48,21.54,10.26,,0.00019628,183.11
1100,1.623413,5.07,21.44,10.67,,0.0001959,191.01
1150,1.73332,5.66,20.52,14.5,,0.00019554,198.9
1200,1.633967,5.12,21.72,9.5,,0.00019513,206.97
1250,1.823323,6.19,19.28,19.67,,0.00019474,217.39
1300,1.526921,4.6,22.6,5.83,,0.00019429,225.53
1350,1.667844,5.3,20.78,13.42,,0.00019387,233.61
1400,1.677405,5.35,21.14,11.91,,0.00019339,241.87
1450,1.59207,4.91,20.54,14.42,,0.00019294,252.62
1500,1.598966,4.95,20.42,14.92,,0.00019243,260.73
1550,1.583079,4.87,21.86,8.92,,0.00019194,268.78
1600,1.57255,4.82,21.08,12.17,,0.0001914,276.96
1650,1.682191,5.38,20.1,16.25,,0.00019088,287.29
1700,1.692411,5.43,21.5,10.41,,0.00019031,295.45
1750,1.655193,5.23,20.58,14.26,,0.00018976,303.63
1800,1.6604,5.26,20.94,12.76,,0.00018916,311.76
1850,1.815767,6.15,19.04,20.67,,0.00018858,322.11
1900,1.612166,5.01,21.58,10.09,,0.00018794,330.24
1950,1.636706,5.14,21.2,11.67,,0.00018734,338.4
2000,1.631717,5.11,20.42,14.92,,0.00018667,346.58
2050,1.506657,4.51,20.92,12.83,,0.00018604,356.8
2100,1.763964,5.84,19.96,16.83,,0.00018534,364.96
2150,1.592285,4.91,21.22,11.59,,0.00018468,373.31
2200,1.683915,5.39,19.86,17.25,,0.00018395,381.25
2250,1.622611,5.07,21.08,12.17,,0.00018326,391.63
2300,1.785351,5.96,19.22,19.91,,0.0001825,399.78
2350,1.566256,4.79,20.94,12.75,,0.00018179,408.4
2400,1.628424,5.1,21.1,12.08,,0.000181,417.26
2450,1.668629,5.3,19.46,18.91,,0.00018026,427.72
2500,1.608582,5.0,21.6,10.0,,0.00017944,436.04
2550,1.562933,4.77,20.84,13.17,,0.00017867,444.22
2600,1.809535,6.11,19.92,17.0,,0.00017783,452.4
2650,1.573127,4.82,21.92,8.67,,0.00017703,462.74
2700,1.802509,6.06,19.02,20.76,,0.00017616,472.01
2750,1.707871,5.52,20.46,14.75,,0.00017534,480.14
2800,1.620128,5.05,20.86,13.09,,0.00017444,488.36
2850,1.674398,5.34,19.32,19.5,,0.0001736,498.91
2900,1.671219,5.32,20.36,15.16,,0.00017267,507.05
2950,1.615117,5.03,20.52,14.5,,0.00017181,515.25
3000,1.686736,5.4,19.9,17.09,,0.00017086,523.44
