layer,gate_value,status
0,0.716827,active
1,0.721852,active
2,0.725924,active
3,0.725644,active
4,0.725322,active
5,0.725214,active
6,0.726926,active
7,0.727407,active
8,0.273697,skip_candidate
9,0.273742,skip_candidate
10,0.273678,skip_candidate
11,0.273493,skip_candidate
12,0.273468,skip_candidate
13,0.273696,skip_candidate
14,0.27371,skip_candidate
15,0.273728,skip_candidate
16,0.273616,skip_candidate
17,0.726261,active
18,0.726798,active
19,0.727676,active
20,0.728129,active
21,0.728746,active
22,0.728981,active
23,0.729082,active
