step_type,loss_base,loss_lora,loss_delta
tool_call,2.722,1.2185,-1.5035
planning,2.5062,0.9898,-1.5164
planning,2.8127,0.9025,-1.9102
tool_call,2.9583,1.4231,-1.5352
planning,2.2993,0.9644,-1.3348
tool_call,2.1122,1.1046,-1.0076
planning,2.1836,1.095,-1.0886
planning,1.9238,0.8694,-1.0544
tool_call,2.6537,1.1408,-1.5129
tool_call,2.1544,1.1303,-1.0242
tool_call,2.6232,1.1045,-1.5187
planning,2.0348,1.1317,-0.9031
planning,2.6633,1.0867,-1.5766
planning,2.2754,1.0658,-1.2096
planning,2.5303,1.0724,-1.4579
tool_call,2.9464,1.4167,-1.5297
planning,2.2913,1.0089,-1.2824
planning,2.2691,1.1504,-1.1186
tool_call,1.9538,0.9459,-1.0079
planning,2.2928,0.9207,-1.3721
