step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,4.73,3.0,-1.73,21.0,12.5
planning,3.61,2.69,-0.92,24.0,0.0
planning,3.29,2.47,-0.83,24.0,0.0
tool_call,5.8,4.15,-1.65,24.0,0.0
planning,3.5,2.62,-0.88,24.0,0.0
tool_call,4.15,3.02,-1.13,23.0,4.2
planning,3.99,2.99,-1.0,24.0,0.0
planning,3.18,2.39,-0.8,24.0,0.0
tool_call,4.41,3.13,-1.28,23.0,4.2
tool_call,4.41,3.1,-1.32,23.0,4.2
tool_call,4.26,3.02,-1.24,23.0,4.2
planning,4.14,3.1,-1.04,24.0,0.0
planning,3.97,2.96,-1.01,24.0,0.0
planning,3.91,2.9,-1.01,24.0,0.0
planning,3.91,2.92,-0.99,24.0,0.0
tool_call,5.73,4.12,-1.61,24.0,0.0
planning,3.66,2.74,-0.92,24.0,0.0
planning,4.21,3.16,-1.05,24.0,0.0
tool_call,3.67,2.58,-1.1,23.0,4.2
planning,3.35,2.51,-0.84,24.0,0.0
tool_call,4.27,4.09,-0.17,22.0,8.3
tool_call,4.88,3.51,-1.37,23.0,4.2
tool_call,5.96,4.38,-1.58,23.0,4.2
planning,3.55,2.66,-0.9,24.0,0.0
tool_call,4.96,3.64,-1.32,23.0,4.2
tool_call,5.51,3.95,-1.56,24.0,0.0
planning,4.43,3.3,-1.13,24.0,0.0
tool_call,4.44,3.3,-1.14,23.0,4.2
tool_call,4.64,3.33,-1.31,24.0,0.0
tool_call,7.02,5.21,-1.82,23.0,4.2
tool_call,4.2,3.08,-1.12,23.0,4.2
planning,3.77,2.83,-0.95,24.0,0.0
tool_call,4.17,3.12,-1.05,23.0,4.2
planning,3.57,2.67,-0.9,24.0,0.0
tool_call,6.27,4.51,-1.76,23.0,4.2
planning,3.66,2.76,-0.9,24.0,0.0
tool_call,4.71,3.43,-1.28,23.0,4.2
planning,3.48,2.61,-0.86,24.0,0.0
planning,4.17,3.11,-1.06,24.0,0.0
planning,3.66,2.74,-0.91,24.0,0.0
planning,3.64,2.72,-0.92,24.0,0.0
planning,3.96,2.95,-1.01,24.0,0.0
planning,3.42,2.55,-0.87,24.0,0.0
tool_call,3.59,3.01,-0.58,22.0,8.3
tool_call,4.19,2.96,-1.23,23.0,4.2
tool_call,5.91,4.35,-1.56,23.0,4.2
planning,4.42,3.31,-1.11,24.0,0.0
tool_call,7.87,5.66,-2.21,24.0,0.0
tool_call,7.5,5.4,-2.1,24.0,0.0
planning,3.33,2.49,-0.84,24.0,0.0
tool_call,3.86,2.76,-1.1,23.0,4.2
planning,3.52,2.64,-0.88,24.0,0.0
tool_call,7.19,5.17,-2.02,24.0,0.0
tool_call,4.36,3.07,-1.29,23.0,4.2
planning,3.74,2.78,-0.96,24.0,0.0
planning,4.14,3.09,-1.05,24.0,0.0
planning,3.54,2.65,-0.89,24.0,0.0
tool_call,5.96,4.43,-1.53,23.0,4.2
tool_call,4.21,2.97,-1.24,23.0,4.2
planning,3.25,2.42,-0.83,24.0,0.0
tool_call,8.91,6.41,-2.5,24.0,0.0
tool_call,5.28,3.8,-1.48,23.0,4.2
tool_call,3.65,2.61,-1.04,23.0,4.2
tool_call,4.77,3.55,-1.22,23.0,4.2
tool_call,5.12,3.67,-1.44,24.0,0.0
tool_call,7.39,5.31,-2.08,24.0,0.0
planning,3.49,2.61,-0.88,24.0,0.0
planning,3.42,2.57,-0.85,24.0,0.0
tool_call,4.86,3.58,-1.29,23.0,4.2
tool_call,4.23,3.07,-1.16,23.0,4.2
planning,3.64,2.74,-0.9,24.0,0.0
planning,3.33,2.49,-0.84,24.0,0.0
planning,3.13,2.34,-0.79,24.0,0.0
tool_call,4.62,3.35,-1.27,23.0,4.2
planning,4.81,3.6,-1.2,24.0,0.0
tool_call,4.06,3.36,-0.7,22.0,8.3
tool_call,4.22,3.12,-1.1,23.0,4.2
planning,3.81,2.86,-0.95,24.0,0.0
tool_call,3.99,2.87,-1.12,23.0,4.2
planning,3.24,2.44,-0.8,24.0,0.0
tool_call,4.48,3.24,-1.24,23.0,4.2
tool_call,4.26,4.16,-0.09,22.0,8.3
planning,3.57,2.66,-0.9,24.0,0.0
planning,4.23,3.17,-1.06,24.0,0.0
planning,3.93,2.94,-0.99,24.0,0.0
tool_call,6.27,4.65,-1.62,23.0,4.2
planning,3.33,2.49,-0.84,24.0,0.0
planning,3.57,2.67,-0.89,24.0,0.0
tool_call,4.13,3.81,-0.32,22.0,8.3
planning,3.43,2.56,-0.87,24.0,0.0
tool_call,5.36,3.84,-1.52,23.0,4.2
planning,3.45,2.58,-0.87,24.0,0.0
planning,4.03,3.02,-1.01,24.0,0.0
planning,3.53,2.66,-0.87,24.0,0.0
tool_call,3.77,3.47,-0.31,22.0,8.3
tool_call,4.86,3.52,-1.34,23.0,4.2
planning,3.72,2.78,-0.94,24.0,0.0
planning,3.49,2.6,-0.89,24.0,0.0
tool_call,5.58,4.0,-1.57,24.0,0.0
planning,4.21,3.14,-1.07,24.0,0.0
