step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,4.107292,60.78,14.98,37.58,,0.00019999,9.26
100,3.63704,37.98,16.02,33.26,,0.00019997,17.55
150,2.680144,14.59,19.76,17.68,,0.00019993,25.74
200,2.433067,11.39,19.04,20.67,,0.00019986,33.93
250,2.253295,9.52,18.58,22.59,,0.00019979,44.27
300,1.861216,6.43,20.04,16.5,,0.00019969,52.51
350,2.07582,7.97,19.98,16.75,,0.00019959,60.79
400,2.020707,7.54,20.04,16.5,,0.00019945,69.11
450,1.768552,5.86,21.56,10.17,,0.00019932,79.79
500,1.751875,5.77,21.86,8.92,,0.00019915,88.02
550,1.927833,6.87,20.46,14.74,,0.00019898,96.3
600,1.609898,5.0,22.04,8.16,,0.00019877,104.57
650,1.781883,5.94,21.3,11.25,,0.00019857,115.33
700,1.622392,5.07,21.08,12.17,,0.00019833,123.62
750,1.647837,5.2,21.84,9.0,,0.0001981,131.79
800,1.669508,5.31,20.74,13.59,,0.00019783,140.0
850,1.655278,5.23,21.04,12.33,,0.00019756,150.44
900,1.577739,4.84,21.3,11.24,,0.00019725,158.75
950,1.493804,4.45,21.56,10.17,,0.00019695,166.99
1000,1.583905,4.87,21.48,10.5,,0.00019661,175.33
1050,1.525654,4.6,21.9,8.75,,0.00019628,185.88
1100,1.506699,4.51,21.0,12.5,,0.0001959,194.22
1150,1.750217,5.76,19.9,17.08,,0.00019554,202.48
1200,1.457118,4.29,22.4,6.67,,0.00019513,210.71
1250,1.666914,5.3,20.44,14.84,,0.00019474,221.24
1300,1.546474,4.69,20.7,13.76,,0.00019429,229.45
1350,1.484856,4.41,22.02,8.25,,0.00019387,237.62
1400,1.439999,4.22,20.94,12.75,,0.00019339,245.87
1450,1.428432,4.17,21.1,12.08,,0.00019294,256.23
1500,1.481931,4.4,21.16,11.84,,0.00019243,264.43
1550,1.654008,5.23,21.04,12.34,,0.00019194,272.54
1600,1.454531,4.28,20.44,14.84,,0.0001914,280.73
1650,1.466778,4.34,20.82,13.26,,0.00019088,291.28
1700,1.680679,5.37,21.36,11.0,,0.00019031,299.57
1750,1.483581,4.41,20.92,12.83,,0.00018976,307.73
1800,1.532767,4.63,20.6,14.17,,0.00018916,315.97
1850,1.476467,4.38,20.78,13.43,,0.00018858,326.4
1900,1.697889,5.46,20.38,15.08,,0.00018794,334.63
1950,1.406685,4.08,21.74,9.42,,0.00018734,342.84
2000,1.479652,4.39,20.16,16.0,,0.00018667,351.13
2050,1.536249,4.65,20.88,13.0,,0.00018604,361.64
2100,1.423061,4.15,21.26,11.42,,0.00018534,369.85
2150,1.383985,3.99,20.88,13.0,,0.00018468,378.24
2200,1.437152,4.21,20.48,14.66,,0.00018395,386.43
2250,1.520958,4.58,20.32,15.33,,0.00018326,396.81
2300,1.480606,4.4,21.36,11.0,,0.0001825,405.07
2350,1.580149,4.86,19.92,17.0,,0.00018179,413.31
2400,1.453889,4.28,20.46,14.75,,0.000181,421.37
2450,1.50857,4.52,20.76,13.5,,0.00018026,431.59
2500,1.486488,4.42,21.16,11.84,,0.00017944,439.47
2550,1.357851,3.89,21.36,11.0,,0.00017867,447.45
2600,1.64625,5.19,19.12,20.33,,0.00017783,455.35
2650,1.367213,3.92,21.62,9.92,,0.00017703,465.34
2700,1.413187,4.11,21.38,10.92,,0.00017616,473.58
2750,1.459229,4.3,20.64,14.0,,0.00017534,481.45
2800,1.548788,4.71,19.92,17.0,,0.00017444,489.57
2850,1.402134,4.06,20.26,15.58,,0.0001736,499.87
2900,1.369641,3.93,21.02,12.42,,0.00017267,508.17
2950,1.521733,4.58,20.56,14.34,,0.00017181,516.31
3000,1.566896,4.79,19.66,18.09,,0.00017086,524.47
