layer,gate_value,status
0,0.727103,active
1,0.731325,active
2,0.732921,active
3,0.731645,active
4,0.734003,active
5,0.734369,active
6,0.733651,active
7,0.732324,active
8,0.273161,skip_candidate
9,0.273528,skip_candidate
10,0.273791,skip_candidate
11,0.273909,skip_candidate
12,0.273786,skip_candidate
13,0.273637,skip_candidate
14,0.273339,skip_candidate
15,0.273336,skip_candidate
16,0.272759,skip_candidate
17,0.729867,active
18,0.730509,active
19,0.731063,active
20,0.730939,active
21,0.730225,active
22,0.731003,active
23,0.730736,active
