step_type,loss_base,loss_lora,loss_delta
tool_call,2.9192,1.4477,-1.4716
planning,2.5747,1.4742,-1.1006
planning,2.8811,1.7096,-1.1715
tool_call,3.1384,1.6549,-1.4835
planning,2.3637,1.4483,-0.9154
tool_call,2.3107,1.3207,-0.9899
planning,2.2316,1.6318,-0.5998
planning,1.9889,1.3809,-0.608
tool_call,2.8482,1.3569,-1.4912
tool_call,2.348,1.3381,-1.0099
tool_call,2.8186,1.3472,-1.4714
planning,2.0849,1.5164,-0.5685
planning,2.7308,1.6803,-1.0505
planning,2.3598,1.7618,-0.598
planning,2.6027,1.7624,-0.8404
tool_call,3.1222,1.6507,-1.4715
planning,2.3534,1.5154,-0.838
planning,2.3283,1.5788,-0.7495
tool_call,2.1584,1.1928,-0.9656
planning,2.3503,1.4415,-0.9087
