step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
tool_call,4.5,4.23,-0.27,24.0,0.0
planning,5.22,4.37,-0.85,24.0,0.0
planning,6.62,5.53,-1.1,24.0,0.0
tool_call,5.6,5.23,-0.37,24.0,0.0
planning,5.12,4.26,-0.86,24.0,0.0
tool_call,3.96,3.75,-0.22,24.0,0.0
planning,6.3,5.11,-1.18,24.0,0.0
planning,4.81,3.98,-0.83,24.0,0.0
tool_call,4.11,3.88,-0.23,24.0,0.0
tool_call,4.03,3.81,-0.22,24.0,0.0
tool_call,4.07,3.85,-0.23,24.0,0.0
planning,5.6,4.56,-1.04,24.0,0.0
planning,6.47,5.37,-1.1,24.0,0.0
planning,6.86,5.82,-1.04,24.0,0.0
planning,6.97,5.83,-1.14,24.0,0.0
tool_call,5.58,5.21,-0.37,24.0,0.0
planning,5.49,4.55,-0.94,24.0,0.0
planning,5.89,4.85,-1.04,24.0,0.0
tool_call,3.48,3.3,-0.18,24.0,0.0
planning,5.1,4.23,-0.87,24.0,0.0
tool_call,4.03,3.82,-0.22,24.0,0.0
tool_call,4.53,4.28,-0.26,24.0,0.0
tool_call,5.67,5.33,-0.34,24.0,0.0
planning,7.74,6.51,-1.23,24.0,0.0
tool_call,4.72,4.45,-0.26,24.0,0.0
tool_call,5.22,4.9,-0.32,24.0,0.0
planning,8.18,6.82,-1.36,24.0,0.0
tool_call,4.24,4.01,-0.23,24.0,0.0
tool_call,4.57,4.3,-0.27,24.0,0.0
tool_call,6.68,6.24,-0.43,24.0,0.0
tool_call,4.19,3.95,-0.24,24.0,0.0
planning,6.52,5.37,-1.15,24.0,0.0
tool_call,4.04,3.81,-0.23,24.0,0.0
planning,5.51,4.66,-0.85,24.0,0.0
tool_call,5.8,5.46,-0.34,24.0,0.0
planning,5.78,4.64,-1.14,24.0,0.0
tool_call,4.31,4.08,-0.23,24.0,0.0
planning,6.2,5.06,-1.14,24.0,0.0
planning,6.42,5.23,-1.19,24.0,0.0
planning,6.08,5.0,-1.08,24.0,0.0
planning,5.56,4.64,-0.91,24.0,0.0
planning,5.94,4.94,-1.0,24.0,0.0
planning,5.1,4.27,-0.83,24.0,0.0
tool_call,3.47,3.28,-0.19,24.0,0.0
tool_call,3.9,3.69,-0.21,24.0,0.0
tool_call,5.49,5.14,-0.35,24.0,0.0
planning,7.22,5.94,-1.28,24.0,0.0
tool_call,7.45,6.95,-0.49,24.0,0.0
tool_call,7.05,6.57,-0.48,24.0,0.0
planning,5.04,4.18,-0.85,24.0,0.0
tool_call,3.8,3.59,-0.21,24.0,0.0
planning,6.1,4.98,-1.12,24.0,0.0
tool_call,6.62,6.18,-0.44,24.0,0.0
tool_call,4.25,4.01,-0.24,24.0,0.0
planning,6.89,5.76,-1.12,24.0,0.0
planning,6.7,5.54,-1.16,24.0,0.0
planning,4.83,4.03,-0.79,24.0,0.0
tool_call,5.8,5.45,-0.35,24.0,0.0
tool_call,4.01,3.79,-0.22,24.0,0.0
planning,4.83,4.04,-0.78,24.0,0.0
tool_call,8.71,8.14,-0.57,24.0,0.0
tool_call,5.0,4.73,-0.27,24.0,0.0
tool_call,3.44,3.26,-0.18,24.0,0.0
tool_call,4.24,4.03,-0.22,24.0,0.0
tool_call,4.85,4.56,-0.28,24.0,0.0
tool_call,7.16,6.7,-0.46,24.0,0.0
planning,4.68,3.87,-0.81,24.0,0.0
planning,5.41,4.46,-0.94,24.0,0.0
tool_call,4.64,4.37,-0.27,24.0,0.0
tool_call,4.16,3.93,-0.23,24.0,0.0
planning,5.12,4.24,-0.88,24.0,0.0
planning,5.2,4.26,-0.94,24.0,0.0
planning,4.59,3.81,-0.78,24.0,0.0
tool_call,4.31,4.07,-0.24,24.0,0.0
planning,6.73,5.42,-1.3,24.0,0.0
tool_call,3.92,3.72,-0.2,24.0,0.0
tool_call,4.04,3.82,-0.22,24.0,0.0
planning,6.6,5.4,-1.2,24.0,0.0
tool_call,3.8,3.6,-0.2,24.0,0.0
planning,5.64,4.59,-1.06,24.0,0.0
tool_call,4.06,3.85,-0.22,24.0,0.0
tool_call,4.03,3.82,-0.22,24.0,0.0
planning,4.85,4.05,-0.79,24.0,0.0
planning,6.15,5.01,-1.14,24.0,0.0
planning,5.14,4.21,-0.93,24.0,0.0
tool_call,5.91,5.54,-0.37,24.0,0.0
planning,5.49,4.6,-0.89,24.0,0.0
planning,4.96,4.07,-0.89,24.0,0.0
tool_call,3.92,3.71,-0.21,24.0,0.0
planning,5.0,4.16,-0.84,24.0,0.0
tool_call,5.1,4.8,-0.3,24.0,0.0
planning,5.51,4.59,-0.92,24.0,0.0
planning,6.15,5.05,-1.1,24.0,0.0
planning,5.22,4.25,-0.97,24.0,0.0
tool_call,3.65,3.46,-0.19,24.0,0.0
tool_call,4.73,4.47,-0.26,24.0,0.0
planning,8.64,7.17,-1.47,24.0,0.0
planning,5.6,4.67,-0.93,24.0,0.0
tool_call,5.34,5.0,-0.35,24.0,0.0
planning,7.25,6.03,-1.21,24.0,0.0
