step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,4.108562,60.86,14.9,37.92,,0.00019999,11.65
100,3.522452,33.87,16.04,33.17,,0.00019997,20.02
150,2.698509,14.86,19.34,19.42,,0.00019993,28.4
200,2.354252,10.53,19.92,17.0,,0.00019986,36.84
250,2.211225,9.13,20.0,16.67,,0.00019979,47.63
300,1.985735,7.28,22.02,8.25,,0.00019969,55.99
350,1.911191,6.76,22.48,6.33,,0.00019959,64.47
400,1.640936,5.16,23.04,4.0,,0.00019945,72.81
450,1.665233,5.29,22.5,6.26,,0.00019932,83.61
500,1.607934,4.99,22.62,5.75,,0.00019915,92.01
550,1.492132,4.45,22.98,4.24,,0.00019898,100.44
600,1.59499,4.93,22.32,7.0,,0.00019877,108.84
650,1.481311,4.4,22.86,4.75,,0.00019857,119.65
700,1.480955,4.4,22.22,7.42,,0.00019833,128.08
750,1.560698,4.76,22.32,7.0,,0.0001981,136.37
800,1.437894,4.21,22.56,6.0,,0.00019783,144.75
850,1.494407,4.46,21.96,8.5,,0.00019756,155.4
900,1.529532,4.62,21.9,8.75,,0.00019725,163.84
950,1.363658,3.91,23.06,3.92,,0.00019695,172.17
1000,1.575723,4.83,20.8,13.34,,0.00019661,180.47
1050,1.578601,4.85,21.06,12.26,,0.00019628,191.2
1100,1.387709,4.01,22.2,7.5,,0.0001959,199.62
1150,1.442934,4.23,22.16,7.67,,0.00019554,207.91
1200,1.52144,4.58,21.68,9.67,,0.00019513,216.28
1250,1.454501,4.28,22.3,7.08,,0.00019474,226.83
1300,1.385679,4.0,21.68,9.67,,0.00019429,235.16
1350,1.352667,3.87,21.8,9.17,,0.00019387,243.54
1400,1.560077,4.76,21.12,12.0,,0.00019339,251.84
1450,1.496939,4.47,21.12,12.0,,0.00019294,262.48
1500,1.438149,4.21,21.26,11.41,,0.00019243,270.75
1550,1.390114,4.02,22.26,7.25,,0.00019194,278.98
1600,1.432298,4.19,21.1,12.08,,0.0001914,287.18
1650,1.443563,4.24,22.02,8.25,,0.00019088,297.6
1700,1.432715,4.19,21.22,11.59,,0.00019031,305.85
1750,1.448794,4.26,21.28,11.33,,0.00018976,313.99
1800,1.495522,4.46,20.78,13.42,,0.00018916,322.17
1850,1.389685,4.01,22.32,7.0,,0.00018858,332.66
1900,1.389313,4.01,21.84,9.0,,0.00018794,340.76
1950,1.439296,4.22,20.84,13.17,,0.00018734,348.89
2000,1.422143,4.15,20.84,13.17,,0.00018667,357.05
2050,1.435444,4.2,21.2,11.67,,0.00018604,367.26
2100,1.400923,4.06,21.32,11.17,,0.00018534,375.6
2150,1.390332,4.02,20.44,14.83,,0.00018468,384.18
2200,1.452264,4.27,20.34,15.25,,0.00018395,392.45
2250,1.462312,4.32,21.08,12.17,,0.00018326,402.96
2300,1.402463,4.07,21.34,11.08,,0.0001825,411.22
2350,1.277533,3.59,21.92,8.66,,0.00018179,419.51
2400,1.427399,4.17,20.82,13.25,,0.000181,427.88
2450,1.436543,4.21,19.98,16.75,,0.00018026,438.36
2500,1.363847,3.91,21.06,12.25,,0.00017944,446.69
2550,1.415797,4.12,19.76,17.67,,0.00017867,454.92
2600,1.366491,3.92,20.64,14.0,,0.00017783,463.24
2650,1.484171,4.41,20.16,16.0,,0.00017703,473.73
2700,1.385773,4.0,20.42,14.92,,0.00017616,482.27
2750,1.332962,3.79,20.7,13.75,,0.00017534,490.56
2800,1.407735,4.09,20.56,14.33,,0.00017444,498.95
2850,1.311783,3.71,20.52,14.5,,0.0001736,509.54
2900,1.419444,4.13,20.48,14.67,,0.00017267,517.91
2950,1.41014,4.1,20.9,12.91,,0.00017181,526.3
3000,1.407002,4.08,20.64,14.0,,0.00017086,534.64
