step,loss,ppl,layers_run,skip_pct,gate_reg,lr,elapsed_s
50,3.890027,48.91,14.94,37.75,,0.00019999,9.38
100,3.425869,30.75,15.66,34.76,,0.00019997,17.45
150,2.612304,13.63,20.34,15.25,,0.00019993,25.52
200,2.688264,14.71,18.36,23.5,,0.00019986,33.77
250,2.3956,10.97,18.94,21.08,,0.00019979,44.27
300,2.521789,12.45,18.2,24.16,,0.00019969,52.47
350,2.064224,7.88,21.22,11.59,,0.00019959,60.64
400,1.866621,6.47,22.46,6.42,,0.00019945,68.81
450,2.051138,7.78,20.28,15.5,,0.00019932,79.3
500,1.799583,6.05,22.3,7.09,,0.00019915,87.46
550,1.806868,6.09,21.48,10.5,,0.00019898,95.63
600,1.642271,5.17,22.42,6.58,,0.00019877,103.98
650,1.923245,6.84,20.68,13.84,,0.00019857,114.21
700,1.775577,5.9,21.6,9.99,,0.00019833,122.37
750,1.661609,5.27,22.08,8.01,,0.0001981,130.61
800,1.748457,5.75,20.96,12.67,,0.00019783,138.77
850,1.616061,5.03,22.0,8.34,,0.00019756,149.22
900,1.643474,5.17,21.02,12.42,,0.00019725,157.15
950,1.731935,5.65,20.86,13.09,,0.00019695,165.07
1000,1.548574,4.7,22.46,6.42,,0.00019661,173.01
1050,1.737971,5.69,20.68,13.84,,0.00019628,183.39
1100,1.805354,6.08,21.12,12.0,,0.0001959,191.53
1150,1.59702,4.94,21.78,9.26,,0.00019554,199.72
1200,1.660926,5.26,20.6,14.17,,0.00019513,207.94
1250,1.689677,5.42,21.54,10.25,,0.00019474,218.25
1300,1.569568,4.8,21.94,8.59,,0.00019429,226.38
1350,1.828257,6.22,19.32,19.5,,0.00019387,234.53
1400,1.575268,4.83,21.94,8.59,,0.00019339,242.69
1450,1.690831,5.42,21.3,11.25,,0.00019294,253.17
1500,1.686261,5.4,20.04,16.5,,0.00019243,261.29
1550,1.509257,4.52,22.16,7.67,,0.00019194,269.46
1600,1.66249,5.27,20.96,12.66,,0.0001914,277.62
1650,1.73128,5.65,19.76,17.67,,0.00019088,287.87
1700,1.505542,4.51,22.02,8.25,,0.00019031,296.03
1750,1.670848,5.32,20.9,12.91,,0.00018976,304.12
1800,1.635773,5.13,20.06,16.41,,0.00018916,312.3
1850,1.640536,5.16,21.9,8.75,,0.00018858,322.53
1900,1.634735,5.13,20.36,15.17,,0.00018794,330.73
1950,1.702447,5.49,20.24,15.67,,0.00018734,338.93
2000,1.675453,5.34,21.02,12.41,,0.00018667,347.04
2050,1.655621,5.24,20.98,12.59,,0.00018604,357.18
2100,1.620578,5.06,20.56,14.33,,0.00018534,365.13
2150,1.707995,5.52,20.28,15.5,,0.00018468,373.47
2200,1.567907,4.8,21.0,12.5,,0.00018395,381.68
2250,1.575233,4.83,20.5,14.59,,0.00018326,392.1
2300,1.58821,4.89,21.1,12.08,,0.0001825,400.32
2350,1.627173,5.09,20.42,14.91,,0.00018179,408.5
2400,1.75497,5.78,19.74,17.75,,0.000181,416.62
2450,1.694656,5.44,21.4,10.83,,0.00018026,426.94
2500,1.703687,5.49,19.96,16.83,,0.00017944,435.02
2550,1.706351,5.51,20.4,15.0,,0.00017867,443.14
2600,1.56012,4.76,21.42,10.74,,0.00017783,451.3
2650,1.6757,5.34,19.46,18.91,,0.00017703,461.63
2700,1.700671,5.48,20.82,13.25,,0.00017616,469.99
2750,1.666479,5.29,19.8,17.5,,0.00017534,478.16
2800,1.698565,5.47,20.12,16.17,,0.00017444,486.37
2850,1.557561,4.75,21.02,12.42,,0.0001736,496.62
2900,1.739267,5.69,19.78,17.58,,0.00017267,504.84
2950,1.648736,5.2,19.46,18.92,,0.00017181,513.05
3000,1.533051,4.63,21.96,8.5,,0.00017086,521.3
