query_id,step_type,routed_ms,routed_tokens,baseline_ms,baseline_tokens,routed_ms_per_tok,baseline_ms_per_tok
0,planning,1377.5783909950405,30,5010.407435009256,142,45.91927969983468,35.284559401473636
1,planning,609.7440250450745,24,2530.6405930314213,82,25.406001043544773,30.86147064672465
2,tool_call,8560.299048083834,256,8874.325008015148,256,33.43866815657748,34.66533206255917
3,planning,2244.5136699825525,74,2236.7204079637304,73,30.331265810575033,30.640005588544252
4,planning,3448.0394270503893,129,2368.123673950322,77,26.728987806592166,30.75485290844574
5,tool_call,3012.3324339510873,94,2886.2384610110894,87,32.046089722883906,33.1751547242654
6,planning,2590.4719840036705,88,3763.1595220882446,122,29.437181636405345,30.845569853182333
7,tool_call,8263.977319002151,256,1203.6164460005239,36,32.281161402352154,33.43379016668122
8,planning,1523.5566550400108,65,7196.390218101442,232,23.439333154461703,31.018923353885526
9,tool_call,4317.617950029671,141,4667.189281084575,148,30.621403900919653,31.53506271003091
10,planning,1736.0320769948885,63,7995.135129080154,256,27.556064714204577,31.23099659796935
11,tool_call,3248.930314090103,103,3908.5880159400403,114,31.54301275815634,34.285859788947725
12,tool_call,1313.772815046832,36,1206.2698740046471,36,36.493689306856446,33.507496500129086
13,planning,2250.0836920225993,79,6658.667186042294,206,28.48207205091898,32.32362711671016
14,planning,4200.879760086536,154,3818.8800771022215,122,27.278440000561925,31.302295713952635
15,planning,2268.4106020024046,81,6802.50339594204,215,28.005069160523515,31.639550678800184
16,planning,1684.966825065203,65,3157.6515830820426,103,25.92256653946466,30.656811486233423
17,tool_call,1397.1961739007384,42,1415.4628079850227,42,33.266575569065196,33.70149542821483
18,planning,6834.868083009496,256,3328.4493039827794,108,26.698703449255845,30.818975036877585
19,tool_call,5777.594094979577,175,3626.602021045983,107,33.0148233998833,33.893476832205444
20,planning,1023.222237941809,34,1449.7169649694115,47,30.094771704170853,30.84504180785982
21,tool_call,3100.4412909969687,98,3300.696889986284,101,31.637156030581313,32.68016722758697
22,planning,2781.4654579851776,91,2804.531008936465,91,30.5655544833536,30.819022076224886
23,tool_call,8516.091961064376,256,7872.742749983445,230,33.26598422290772,34.22931630427585
24,tool_call,3679.32901205495,110,3385.9669220400974,100,33.44844556413591,33.859669220400974
25,tool_call,3285.9422740293667,98,3293.9499049680308,98,33.530023204381294,33.61173372416358
26,tool_call,1495.3401340171695,46,8878.929788945243,256,32.507394217764556,34.683319488067355
27,tool_call,1136.7612530011684,32,3289.0317160636187,99,35.52378915628651,33.2225425865012
28,tool_call,2947.2684039501473,89,1290.6261569587514,38,33.11537532528256,33.96384623575661
29,planning,2159.9196910392493,77,2648.4726920025423,86,28.05090507843181,30.79619409305282
