step_type,ppl_full,ppl_gated,ppl_delta,layers_run,skip_pct
planning,5.3,3.42,-1.88,24.0,0.0
tool_call,4.57,3.37,-1.2,24.0,0.0
planning,4.32,3.21,-1.11,24.0,0.0
tool_call,4.47,3.82,-0.65,23.0,4.2
planning,5.43,4.04,-1.39,24.0,0.0
planning,4.32,3.2,-1.12,24.0,0.0
planning,4.75,3.54,-1.21,24.0,0.0
tool_call,3.59,2.9,-0.68,23.0,4.2
tool_call,3.77,3.09,-0.68,23.0,4.2
planning,5.08,3.77,-1.31,24.0,0.0
tool_call,4.06,2.99,-1.07,24.0,0.0
planning,6.32,4.7,-1.62,24.0,0.0
tool_call,4.55,3.35,-1.2,24.0,0.0
tool_call,3.47,2.83,-0.64,23.0,4.2
planning,5.3,3.94,-1.36,24.0,0.0
tool_call,5.36,3.96,-1.4,24.0,0.0
tool_call,3.96,3.29,-0.68,23.0,4.2
tool_call,4.5,3.97,-0.53,23.0,4.2
planning,4.16,3.1,-1.06,24.0,0.0
tool_call,4.03,3.55,-0.48,23.0,4.2
tool_call,3.97,2.92,-1.05,24.0,0.0
tool_call,4.38,3.82,-0.56,23.0,4.2
planning,5.58,4.14,-1.44,24.0,0.0
planning,6.25,4.63,-1.61,24.0,0.0
tool_call,5.06,3.73,-1.33,24.0,0.0
tool_call,4.23,3.43,-0.8,23.0,4.2
tool_call,3.95,3.23,-0.73,23.0,4.2
planning,5.08,3.76,-1.31,24.0,0.0
tool_call,4.12,3.04,-1.08,24.0,0.0
tool_call,4.5,3.91,-0.59,23.0,4.2
planning,4.44,3.3,-1.14,24.0,0.0
tool_call,4.03,3.34,-0.69,23.0,4.2
planning,4.57,3.38,-1.19,24.0,0.0
planning,4.62,3.44,-1.19,24.0,0.0
planning,4.34,3.23,-1.12,24.0,0.0
planning,5.14,3.82,-1.31,24.0,0.0
tool_call,4.85,4.06,-0.78,23.0,4.2
tool_call,4.02,2.96,-1.06,24.0,0.0
tool_call,5.91,4.36,-1.55,24.0,0.0
tool_call,4.01,2.95,-1.06,24.0,0.0
tool_call,4.09,3.01,-1.08,24.0,0.0
tool_call,5.87,4.33,-1.53,24.0,0.0
tool_call,5.62,4.15,-1.48,24.0,0.0
planning,5.12,3.8,-1.31,24.0,0.0
planning,5.71,4.24,-1.47,24.0,0.0
planning,5.12,3.79,-1.33,24.0,0.0
tool_call,4.04,3.34,-0.7,23.0,4.2
planning,4.46,3.3,-1.15,24.0,0.0
planning,4.5,3.34,-1.16,24.0,0.0
tool_call,7.16,5.29,-1.87,24.0,0.0
tool_call,4.06,3.0,-1.07,24.0,0.0
tool_call,5.43,4.01,-1.42,24.0,0.0
planning,4.11,3.05,-1.06,24.0,0.0
tool_call,4.88,3.61,-1.28,24.0,0.0
planning,4.92,3.66,-1.26,24.0,0.0
planning,3.97,2.95,-1.02,24.0,0.0
planning,3.77,2.81,-0.97,24.0,0.0
planning,4.53,3.36,-1.17,24.0,0.0
tool_call,6.78,5.02,-1.76,24.0,0.0
tool_call,5.53,4.08,-1.45,24.0,0.0
planning,4.53,4.02,-0.51,23.0,4.2
planning,4.26,3.16,-1.1,24.0,0.0
tool_call,5.41,3.99,-1.41,24.0,0.0
tool_call,5.51,4.07,-1.44,24.0,0.0
tool_call,4.66,3.43,-1.23,24.0,0.0
planning,4.06,3.03,-1.04,24.0,0.0
tool_call,4.15,3.06,-1.1,24.0,0.0
planning,6.47,4.83,-1.64,24.0,0.0
planning,5.02,3.72,-1.3,24.0,0.0
planning,4.12,3.06,-1.06,24.0,0.0
tool_call,3.43,2.81,-0.62,23.0,4.2
planning,4.79,3.55,-1.24,24.0,0.0
planning,4.86,3.61,-1.25,24.0,0.0
tool_call,3.96,3.27,-0.69,23.0,4.2
planning,6.1,4.53,-1.57,24.0,0.0
planning,5.53,4.77,-0.76,23.0,4.2
planning,5.2,3.85,-1.35,24.0,0.0
tool_call,6.47,4.79,-1.68,24.0,0.0
tool_call,7.11,5.26,-1.85,24.0,0.0
tool_call,4.66,4.08,-0.58,23.0,4.2
tool_call,3.68,3.14,-0.54,23.0,4.2
planning,5.26,3.91,-1.35,24.0,0.0
tool_call,3.81,3.14,-0.67,23.0,4.2
tool_call,5.53,4.09,-1.44,24.0,0.0
planning,4.06,3.02,-1.05,24.0,0.0
planning,4.32,3.21,-1.11,24.0,0.0
planning,6.3,4.68,-1.61,24.0,0.0
tool_call,8.64,6.4,-2.24,24.0,0.0
planning,4.73,3.51,-1.22,24.0,0.0
tool_call,7.5,5.56,-1.95,24.0,0.0
planning,4.64,3.43,-1.21,24.0,0.0
planning,4.53,3.36,-1.17,24.0,0.0
tool_call,3.91,3.32,-0.59,23.0,4.2
planning,4.57,3.39,-1.18,24.0,0.0
planning,5.24,3.9,-1.34,24.0,0.0
planning,4.44,3.29,-1.14,24.0,0.0
tool_call,3.44,2.8,-0.64,23.0,4.2
planning,5.58,4.16,-1.42,24.0,0.0
tool_call,4.19,3.09,-1.1,24.0,0.0
planning,5.62,4.19,-1.43,24.0,0.0
