step_type,loss_base,loss_lora,loss_delta
tool_call,2.9335,1.3921,-1.5415
tool_call,2.0509,1.0162,-1.0348
planning,2.8211,1.4021,-1.4191
planning,2.5433,1.2225,-1.3209
planning,2.3034,1.2031,-1.1003
planning,1.9987,1.2109,-0.7878
tool_call,2.3723,1.3146,-1.0577
planning,2.2577,1.3674,-0.8903
planning,2.4528,1.6962,-0.7566
tool_call,3.0593,1.4326,-1.6267
tool_call,3.4041,1.8838,-1.5204
tool_call,2.1924,1.121,-1.0714
planning,1.848,1.2997,-0.5483
planning,2.1857,1.3261,-0.8596
tool_call,1.9873,0.9885,-0.9988
tool_call,2.6927,1.1336,-1.5591
tool_call,2.1453,1.0672,-1.078
tool_call,2.8084,1.2558,-1.5526
planning,2.5399,1.4662,-1.0737
planning,2.0298,1.389,-0.6407
