layer,gate_value,status
0,0.723728,active
1,0.727456,active
2,0.729691,active
3,0.729436,active
4,0.727966,active
5,0.729315,active
6,0.7304,active
7,0.729052,active
8,0.272488,skip_candidate
9,0.272745,skip_candidate
10,0.272756,skip_candidate
11,0.272856,skip_candidate
12,0.272846,skip_candidate
13,0.272945,skip_candidate
14,0.272799,skip_candidate
15,0.27285,skip_candidate
16,0.272669,skip_candidate
17,0.727833,active
18,0.728402,active
19,0.728677,active
20,0.72918,active
21,0.729501,active
22,0.729422,active
23,0.729736,active
